segment_id,road_type,rainfall_mm,rainfall_prev_6h_mm,rainfall_rate_change_mm_per_h,slope_degrees,river_distance_km,historical_closure_count,active_weather_warning,disrupted
SEG_DIST_AR1,district,14.37,25.44,10.14,32.2,0.924,3,0,1
SEG_STATE_AS1,state,69.19,26.38,64.8,25.2,1.563,1,1,1
SEG_HWY_NH27,highway,9.32,14.02,6.98,4.1,4.401,3,0,0
SEG_HWY_NH37,highway,5.23,16.52,2.48,2.16,3.058,2,0,0
SEG_STATE_AS1,state,50.65,3.64,50.05,13.44,1.529,0,0,1
SEG_HWY_NH37,highway,17.63,9.97,15.97,10.04,3.043,7,0,0
SEG_DIST_MZ1,district,38.7,5.21,37.83,39.6,0.485,2,0,1
SEG_STATE_MN2,state,37.35,21.92,33.7,17.91,1.52,2,0,0
SEG_DIST_MZ1,district,41.79,16.29,39.08,37.15,0.058,1,0,0
SEG_HWY_NH37,highway,17.2,7.51,15.95,10.33,3.331,1,0,0
SEG_STATE_AS1,state,10.37,11.79,8.41,24.53,1.354,4,0,1
SEG_DIST_AR1,district,46.68,7.57,45.42,31.72,1.125,1,0,1
SEG_HWY_NH37,highway,40.55,1.47,40.3,8.76,2.986,4,0,0
SEG_STATE_AS1,state,60.43,33.44,54.85,11.47,1.488,3,0,0
SEG_RURAL_NL1,rural,62.04,39.8,55.41,37.08,0.592,1,0,1
SEG_HWY_NH27,highway,15.34,9.26,13.8,5.29,5.533,0,0,1
SEG_HWY_NH27,highway,11.72,42.08,4.71,0.73,4.746,1,0,0
SEG_RURAL_TR1,rural,54.66,14.36,52.27,48.11,0.137,0,0,0
SEG_RURAL_TR1,rural,30.11,12.95,27.95,46.06,0.422,3,1,1
SEG_DIST_MZ1,district,24.83,34.51,19.08,29.14,0.473,10,0,0
SEG_HWY_NH27,highway,4.12,9.71,2.5,7.44,5.063,1,0,0
SEG_RURAL_TR1,rural,40.35,18.67,37.24,46.94,0.05,1,0,0
SEG_STATE_MN2,state,27.67,14.85,25.19,15.05,1.355,2,0,0
SEG_HWY_NH37,highway,8.19,30.48,3.11,7.77,2.584,9,0,0
SEG_DIST_AR1,district,116.66,10.16,114.97,27.23,0.572,1,0,1
SEG_RURAL_TR1,rural,22.49,5.12,21.64,41.66,0.373,0,0,1
SEG_HWY_NH37,highway,16.93,19.26,13.72,1.73,3.307,2,0,0
SEG_HWY_NH37,highway,62.19,20.82,58.72,10.1,3.275,2,0,1
SEG_RURAL_TR1,rural,9.93,2.06,9.59,41.07,0.05,2,1,1
SEG_RURAL_NL1,rural,36.96,3.5,36.38,45.88,0.892,0,1,0
SEG_RURAL_NL1,rural,68.61,36.49,62.53,41.73,0.777,5,0,0
SEG_HWY_NH27,highway,5.54,3.33,4.98,3.05,4.614,4,0,1
SEG_RURAL_TR1,rural,14.76,32.14,9.41,35.35,0.05,4,1,0
SEG_RURAL_TR1,rural,4.54,16.32,1.82,45.74,0.641,12,0,0
SEG_HWY_NH27,highway,51.54,16.92,48.72,12.36,5.803,6,0,1
SEG_HWY_NH27,highway,7.69,5.22,6.82,4.9,4.838,5,0,0
SEG_DIST_MZ1,district,32.16,4.18,31.46,39.03,0.273,1,0,0
SEG_STATE_AS1,state,14.71,7.09,13.53,23.44,1.584,3,1,1
SEG_HWY_NH27,highway,26.43,3.51,25.85,2.4,5.182,2,0,0
SEG_STATE_AS1,state,59.04,22.05,55.36,25.13,1.403,2,0,0
SEG_DIST_AR1,district,25.6,3.0,25.1,35.28,0.932,3,0,0
SEG_DIST_MZ1,district,15.85,7.3,14.64,29.77,0.898,1,0,0
SEG_RURAL_NL1,rural,60.9,26.68,56.45,43.27,0.05,0,1,1
SEG_DIST_AR1,district,65.63,36.57,59.53,28.17,0.299,2,0,1
SEG_RURAL_TR1,rural,46.05,52.22,37.35,49.15,0.127,1,0,0
SEG_RURAL_NL1,rural,19.75,15.24,17.21,44.51,0.085,7,0,1
SEG_HWY_NH27,highway,42.4,24.65,38.29,4.05,5.114,2,1,1
SEG_HWY_NH27,highway,55.19,14.76,52.73,17.96,5.037,0,0,1
SEG_STATE_MN2,state,6.69,19.52,3.44,25.36,2.01,2,0,1
SEG_RURAL_NL1,rural,34.96,31.57,29.7,44.63,0.438,0,0,0
SEG_RURAL_TR1,rural,17.66,12.84,15.52,45.94,0.123,1,0,1
SEG_STATE_MN2,state,15.61,20.28,12.23,29.73,2.364,8,0,1
SEG_RURAL_NL1,rural,57.74,56.26,48.36,35.5,0.321,2,0,1
SEG_DIST_MZ1,district,11.75,4.68,10.97,31.83,0.616,9,1,1
SEG_RURAL_TR1,rural,50.79,3.98,50.13,41.01,0.05,0,0,1
SEG_RURAL_NL1,rural,4.03,4.09,3.35,42.1,0.855,1,0,0
SEG_RURAL_NL1,rural,25.35,11.79,23.39,42.32,0.353,1,0,0
SEG_HWY_NH27,highway,13.31,23.33,9.42,15.39,5.152,1,0,0
SEG_DIST_MZ1,district,7.46,24.66,3.35,35.49,0.132,2,0,1
SEG_RURAL_NL1,rural,8.34,30.54,3.25,41.4,0.798,1,0,1
SEG_DIST_MZ1,district,50.46,6.16,49.44,38.21,1.025,1,1,0
SEG_DIST_AR1,district,55.67,17.11,52.82,25.2,1.392,1,0,1
SEG_DIST_MZ1,district,22.68,20.09,19.33,32.52,0.944,4,0,0
SEG_STATE_AS1,state,30.04,10.45,28.3,11.11,1.149,8,0,1
SEG_RURAL_TR1,rural,80.88,16.91,78.07,50.98,0.594,0,0,1
SEG_HWY_NH27,highway,23.36,7.99,22.03,5.66,4.663,6,0,1
SEG_HWY_NH27,highway,9.57,3.41,9.0,9.38,4.937,2,0,0
SEG_HWY_NH27,highway,39.67,17.5,36.75,2.66,4.572,0,0,0
SEG_HWY_NH27,highway,2.01,35.47,-3.91,6.31,4.417,0,0,0
SEG_RURAL_NL1,rural,7.31,7.7,6.02,37.11,0.05,2,0,0
SEG_HWY_NH27,highway,48.48,6.63,47.37,13.52,4.777,4,0,1
SEG_DIST_MZ1,district,25.37,24.13,21.35,40.11,0.05,4,0,0
SEG_STATE_AS1,state,32.3,11.57,30.37,19.37,0.878,0,0,0
SEG_HWY_NH37,highway,27.82,12.55,25.72,3.68,3.133,2,0,0
SEG_DIST_MZ1,district,21.88,34.53,16.13,31.57,0.745,1,0,0
SEG_HWY_NH27,highway,59.44,11.63,57.5,6.06,5.407,2,0,0
SEG_RURAL_NL1,rural,35.93,56.93,26.44,44.08,0.395,2,0,1
SEG_DIST_MZ1,district,3.81,17.4,0.91,32.12,0.764,0,0,1
SEG_RURAL_NL1,rural,6.59,4.95,5.77,41.42,0.613,3,0,0
SEG_HWY_NH37,highway,7.88,9.03,6.38,0.0,2.723,5,0,0
SEG_DIST_AR1,district,29.72,3.26,29.17,29.07,0.44,3,0,1
SEG_DIST_AR1,district,36.27,6.2,35.23,21.38,0.764,0,0,1
SEG_DIST_MZ1,district,14.18,13.09,12.0,32.37,0.621,1,0,1
SEG_HWY_NH27,highway,58.91,38.7,52.46,0.0,5.255,2,1,1
SEG_STATE_MN2,state,60.25,10.99,58.41,19.71,2.129,1,0,0
SEG_STATE_AS1,state,124.81,9.73,123.19,16.62,1.523,5,0,0
SEG_RURAL_TR1,rural,8.11,25.67,3.83,42.16,0.304,1,0,1
SEG_STATE_MN2,state,24.61,4.99,23.78,28.26,1.938,6,0,0
SEG_HWY_NH27,highway,4.78,10.25,3.07,6.26,4.694,0,0,0
SEG_DIST_MZ1,district,23.68,8.08,22.34,37.52,0.357,0,0,0
SEG_DIST_MZ1,district,24.28,1.78,23.99,25.3,0.372,1,0,0
SEG_HWY_NH27,highway,30.5,16.71,27.72,7.06,4.991,10,0,1
SEG_DIST_AR1,district,9.27,37.73,2.98,26.24,1.132,1,0,0
SEG_STATE_MN2,state,30.36,3.09,29.85,27.58,1.749,1,0,0
SEG_RURAL_NL1,rural,23.97,20.92,20.49,51.51,0.293,4,0,0
SEG_HWY_NH37,highway,42.03,4.86,41.22,8.66,2.978,2,0,0
SEG_DIST_AR1,district,41.01,22.66,37.23,24.8,0.26,5,0,0
SEG_HWY_NH37,highway,11.7,5.7,10.75,8.78,3.334,2,0,1
SEG_STATE_AS1,state,12.22,15.02,9.72,13.86,1.531,3,0,0
SEG_DIST_AR1,district,22.65,6.49,21.56,32.09,0.852,1,0,1
SEG_DIST_AR1,district,24.97,9.94,23.31,28.92,0.687,1,0,0
SEG_DIST_MZ1,district,21.62,5.29,20.74,30.06,0.672,3,0,1
SEG_DIST_MZ1,district,46.69,12.74,44.57,35.89,0.225,2,0,1
SEG_HWY_NH37,highway,27.98,27.08,23.47,5.54,3.068,0,0,0
SEG_STATE_AS1,state,7.69,45.59,0.09,16.56,1.483,0,1,1
SEG_STATE_AS1,state,16.08,31.39,10.85,27.71,1.695,2,0,0
SEG_RURAL_NL1,rural,11.95,19.33,8.72,33.53,0.05,4,0,0
SEG_HWY_NH27,highway,11.45,16.06,8.77,10.0,5.117,9,0,0
SEG_STATE_AS1,state,29.55,49.98,21.22,20.85,1.299,2,0,0
SEG_HWY_NH37,highway,10.81,5.71,9.85,1.44,2.834,5,0,0
SEG_HWY_NH27,highway,10.81,3.21,10.28,5.01,4.789,2,0,0
SEG_STATE_MN2,state,1.74,10.01,0.07,19.74,2.461,3,0,0
SEG_RURAL_NL1,rural,24.19,8.46,22.78,30.08,0.05,0,0,1
SEG_RURAL_NL1,rural,16.01,8.62,14.57,42.09,0.505,0,0,0
SEG_RURAL_TR1,rural,51.91,14.59,49.48,38.95,0.189,1,1,1
SEG_DIST_MZ1,district,36.33,8.33,34.94,30.07,0.616,1,0,0
SEG_STATE_AS1,state,25.03,15.28,22.49,20.48,1.762,3,0,0
SEG_DIST_MZ1,district,13.83,1.99,13.49,24.39,0.488,2,0,0
SEG_DIST_AR1,district,32.83,14.79,30.37,25.51,0.917,3,0,0
SEG_DIST_MZ1,district,66.27,4.31,65.55,40.8,0.798,0,0,0
SEG_HWY_NH27,highway,48.29,42.48,41.21,16.75,5.414,10,0,1
SEG_HWY_NH37,highway,103.5,7.37,102.27,14.15,3.221,4,0,0
SEG_STATE_AS1,state,61.46,7.34,60.23,19.77,1.897,2,1,1
SEG_STATE_AS1,state,2.54,16.14,-0.15,10.52,1.591,4,0,0
SEG_HWY_NH37,highway,46.41,12.36,44.35,0.0,3.347,8,0,0
SEG_HWY_NH27,highway,57.44,27.87,52.8,7.4,5.153,1,0,1
SEG_DIST_AR1,district,38.43,17.8,35.46,30.42,1.371,1,0,1
SEG_RURAL_TR1,rural,46.34,1.36,46.11,37.5,0.675,3,0,0
SEG_RURAL_NL1,rural,15.09,0.62,14.98,43.7,0.051,6,0,1
SEG_RURAL_TR1,rural,51.49,17.27,48.61,42.64,0.109,8,1,1
SEG_RURAL_TR1,rural,19.97,28.67,15.19,55.36,0.141,0,0,1
SEG_RURAL_NL1,rural,25.88,6.47,24.8,32.34,0.39,2,0,1
SEG_DIST_AR1,district,30.65,10.17,28.96,27.06,0.844,2,0,0
SEG_STATE_MN2,state,34.11,12.21,32.07,18.37,2.42,0,0,0
SEG_HWY_NH27,highway,20.1,17.48,17.19,13.48,4.733,7,1,0
SEG_DIST_MZ1,district,36.33,20.48,32.91,31.01,0.572,1,0,0
SEG_RURAL_NL1,rural,12.69,2.6,12.26,31.76,0.05,1,0,0
SEG_HWY_NH27,highway,72.57,5.19,71.7,11.7,5.033,4,1,1
SEG_DIST_AR1,district,50.07,21.28,46.52,17.54,1.183,1,0,0
SEG_RURAL_TR1,rural,13.02,19.93,9.7,50.95,0.403,0,0,0
SEG_DIST_AR1,district,7.31,11.64,5.37,25.34,0.801,2,0,0
SEG_HWY_NH37,highway,111.59,16.02,108.92,0.0,2.763,4,0,1
SEG_STATE_MN2,state,29.89,6.83,28.75,11.67,2.282,1,0,1
SEG_RURAL_NL1,rural,53.32,5.07,52.48,45.48,0.571,2,0,0
SEG_HWY_NH37,highway,14.52,10.53,12.76,5.23,2.884,8,0,0
SEG_HWY_NH37,highway,68.62,8.55,67.19,0.0,3.095,1,1,0
SEG_STATE_MN2,state,30.1,12.19,28.07,21.22,2.181,1,0,0
SEG_DIST_AR1,district,25.33,36.44,19.26,30.85,1.0,5,0,1
SEG_STATE_MN2,state,39.21,14.32,36.82,9.07,2.322,0,0,1
SEG_STATE_AS1,state,38.9,29.32,34.01,21.01,1.418,0,0,1
SEG_DIST_AR1,district,27.32,11.33,25.44,25.26,0.705,1,0,1
SEG_DIST_AR1,district,31.9,0.55,31.81,35.52,0.953,14,0,0
SEG_DIST_MZ1,district,21.32,13.24,19.12,31.12,0.592,2,0,1
SEG_HWY_NH27,highway,28.86,40.17,22.17,9.21,4.587,0,0,0
SEG_HWY_NH37,highway,15.31,14.19,12.95,18.29,2.57,7,0,1
SEG_RURAL_TR1,rural,21.45,26.55,17.02,48.21,0.624,4,0,0
SEG_RURAL_NL1,rural,75.47,5.2,74.61,36.11,0.132,3,1,1
SEG_STATE_AS1,state,33.14,13.21,30.93,5.59,1.247,7,0,1
SEG_STATE_AS1,state,49.41,12.69,47.29,17.44,1.621,5,0,0
SEG_RURAL_NL1,rural,3.67,12.31,1.62,42.78,0.442,2,0,0
SEG_STATE_MN2,state,18.28,20.55,14.85,25.02,1.797,0,0,0
SEG_DIST_MZ1,district,3.03,9.56,1.44,31.64,0.876,5,1,0
SEG_HWY_NH27,highway,30.98,0.58,30.89,10.85,4.618,6,0,0
SEG_RURAL_NL1,rural,70.39,26.95,65.9,41.86,0.05,1,1,1
SEG_HWY_NH37,highway,26.2,8.34,24.81,0.05,3.578,6,0,0
SEG_RURAL_NL1,rural,65.05,1.52,64.79,46.94,0.398,1,1,0
SEG_HWY_NH37,highway,79.18,30.26,74.14,4.25,2.942,1,1,0
SEG_RURAL_TR1,rural,17.25,7.54,15.99,41.68,0.212,4,0,1
SEG_HWY_NH27,highway,5.35,24.41,1.28,6.27,4.89,3,0,0
SEG_DIST_MZ1,district,43.72,42.47,36.64,26.48,0.691,3,0,1
SEG_RURAL_NL1,rural,9.71,10.59,7.95,39.93,0.238,1,0,0
SEG_RURAL_NL1,rural,32.19,17.94,29.2,39.43,1.024,1,0,0
SEG_RURAL_NL1,rural,25.39,21.89,21.74,45.85,0.185,1,0,0
SEG_DIST_AR1,district,40.04,16.59,37.27,31.74,0.967,0,0,0
SEG_HWY_NH27,highway,47.03,3.07,46.52,8.4,4.928,1,0,1
SEG_RURAL_NL1,rural,15.37,12.78,13.24,39.01,0.765,0,0,1
SEG_HWY_NH37,highway,2.51,21.07,-1.01,12.58,3.392,1,1,0
SEG_DIST_MZ1,district,17.88,15.95,15.22,28.42,0.849,2,0,1
SEG_STATE_AS1,state,52.71,8.99,51.21,17.97,1.652,1,0,1
SEG_RURAL_TR1,rural,21.47,20.68,18.03,50.08,0.261,0,0,1
SEG_DIST_MZ1,district,35.72,1.58,35.45,27.93,0.393,9,0,1
SEG_HWY_NH27,highway,37.47,5.99,36.47,6.57,5.38,4,0,1
SEG_RURAL_NL1,rural,20.07,13.88,17.76,37.94,0.165,2,0,0
SEG_HWY_NH27,highway,8.66,30.39,3.59,4.15,5.197,4,0,0
SEG_STATE_MN2,state,22.81,16.44,20.08,21.53,2.223,4,0,0
SEG_RURAL_NL1,rural,51.32,17.03,48.48,34.92,0.917,0,1,1
SEG_RURAL_NL1,rural,12.77,22.62,9.0,45.63,0.541,0,0,0
SEG_HWY_NH27,highway,14.71,11.5,12.79,10.31,5.018,4,0,0
SEG_RURAL_NL1,rural,19.81,21.11,16.29,43.46,0.088,6,0,1
SEG_DIST_AR1,district,36.8,3.36,36.24,33.28,0.981,2,0,1
SEG_DIST_MZ1,district,77.29,5.88,76.31,36.22,0.05,1,0,1
SEG_STATE_MN2,state,33.96,14.77,31.49,23.43,1.942,1,0,1
SEG_DIST_MZ1,district,22.11,5.73,21.15,37.31,0.56,5,0,0
SEG_STATE_AS1,state,64.86,4.04,64.19,18.14,1.299,2,1,1
SEG_HWY_NH27,highway,19.51,25.88,15.2,0.19,4.756,1,0,1
SEG_HWY_NH27,highway,36.52,33.3,30.97,5.93,4.949,0,0,0
SEG_STATE_MN2,state,25.16,7.85,23.85,20.2,1.916,0,0,1
SEG_DIST_MZ1,district,48.79,3.82,48.15,35.49,0.527,1,0,0
SEG_DIST_MZ1,district,32.05,3.29,31.5,42.73,0.05,3,0,1
SEG_STATE_AS1,state,33.29,14.04,30.95,26.89,1.63,1,1,1
SEG_STATE_MN2,state,1.84,42.51,-5.25,25.66,1.807,2,0,0
SEG_HWY_NH27,highway,46.83,10.07,45.15,3.65,4.758,0,1,0
SEG_STATE_AS1,state,9.28,5.14,8.42,26.48,1.04,11,0,1
SEG_DIST_AR1,district,16.69,60.17,6.66,31.14,0.888,2,0,0
SEG_STATE_MN2,state,22.34,28.23,17.63,27.8,2.062,5,0,1
SEG_STATE_AS1,state,12.8,5.73,11.84,22.68,1.804,1,0,0
SEG_STATE_AS1,state,4.35,19.98,1.02,14.66,1.336,1,0,0
SEG_HWY_NH27,highway,22.33,2.14,21.97,1.63,5.046,6,0,0
SEG_STATE_AS1,state,18.42,2.11,18.07,21.81,1.398,0,0,0
SEG_RURAL_TR1,rural,71.11,7.91,69.79,52.35,0.407,0,0,1
SEG_RURAL_TR1,rural,21.75,22.15,18.06,50.73,0.05,4,1,1
SEG_RURAL_TR1,rural,40.48,13.32,38.26,44.77,0.309,3,0,0
SEG_DIST_MZ1,district,66.56,36.85,60.42,37.84,0.678,3,1,1
SEG_DIST_MZ1,district,44.83,11.38,42.93,30.41,0.491,1,0,0
SEG_STATE_AS1,state,27.6,4.73,26.81,28.71,1.35,4,0,1
SEG_RURAL_TR1,rural,77.26,24.23,73.22,46.94,0.05,2,1,1
SEG_HWY_NH27,highway,9.43,4.52,8.68,7.42,4.902,0,0,0
SEG_RURAL_TR1,rural,5.09,21.94,1.43,43.84,0.473,2,0,1
SEG_RURAL_TR1,rural,7.52,36.11,1.5,38.17,0.05,1,1,0
SEG_DIST_AR1,district,29.67,23.31,25.78,28.07,0.648,4,0,0
SEG_DIST_AR1,district,12.81,11.28,10.93,27.62,1.204,1,0,0
SEG_HWY_NH37,highway,25.18,4.48,24.43,6.36,3.256,2,0,0
SEG_DIST_MZ1,district,29.89,5.72,28.94,35.92,0.608,1,1,1
SEG_HWY_NH27,highway,17.98,21.92,14.32,8.75,4.909,0,0,0
SEG_DIST_AR1,district,58.3,6.24,57.26,30.83,0.726,6,1,0
SEG_RURAL_TR1,rural,37.36,44.18,30.0,46.55,0.05,3,0,1
SEG_RURAL_TR1,rural,45.65,13.38,43.42,41.03,0.05,1,0,0
SEG_HWY_NH37,highway,14.89,1.47,14.64,9.33,3.076,1,0,0
SEG_HWY_NH37,highway,16.1,10.52,14.34,15.17,2.672,4,1,0
SEG_DIST_MZ1,district,10.49,18.71,7.37,37.8,0.898,5,0,1
SEG_DIST_AR1,district,7.58,29.83,2.61,31.67,0.974,1,0,0
SEG_HWY_NH27,highway,22.64,28.07,17.96,3.95,4.346,1,0,0
SEG_HWY_NH27,highway,83.19,27.76,78.56,2.63,4.865,2,0,0
SEG_RURAL_NL1,rural,10.3,19.43,7.06,36.7,0.05,3,0,0
SEG_RURAL_TR1,rural,50.41,0.69,50.29,38.89,0.05,5,0,1
SEG_HWY_NH37,highway,34.23,1.53,33.97,0.0,3.186,5,0,0
SEG_RURAL_TR1,rural,36.48,15.49,33.89,48.54,0.255,4,0,1
SEG_STATE_MN2,state,7.99,25.5,3.74,20.9,2.318,2,0,1
SEG_DIST_MZ1,district,33.32,2.51,32.9,39.54,0.842,9,0,0
SEG_RURAL_TR1,rural,28.2,30.76,23.07,45.81,0.395,1,0,0
SEG_STATE_AS1,state,18.65,6.16,17.62,18.86,1.231,3,0,0
SEG_HWY_NH37,highway,28.01,3.95,27.35,13.22,2.421,0,0,0
SEG_RURAL_TR1,rural,7.28,11.67,5.34,57.16,0.411,0,0,0
SEG_HWY_NH27,highway,37.31,10.52,35.56,1.69,5.082,7,0,0
SEG_DIST_MZ1,district,71.54,4.96,70.72,45.97,0.699,3,0,1
SEG_HWY_NH27,highway,6.72,29.39,1.82,7.62,4.8,3,0,0
SEG_STATE_AS1,state,7.84,7.66,6.56,14.17,1.661,1,0,1
SEG_HWY_NH37,highway,28.15,32.22,22.78,1.86,2.704,11,1,0
SEG_STATE_MN2,state,60.41,5.25,59.54,26.65,2.415,7,1,1
SEG_RURAL_TR1,rural,4.39,15.47,1.81,40.37,0.05,0,0,0
SEG_RURAL_TR1,rural,35.5,52.09,26.82,31.03,0.05,0,0,1
SEG_STATE_AS1,state,44.53,9.13,43.01,12.37,1.521,5,0,0
SEG_DIST_MZ1,district,29.66,5.61,28.73,35.72,0.323,5,0,0
SEG_DIST_MZ1,district,19.78,8.01,18.45,28.86,0.622,4,0,0
SEG_DIST_AR1,district,35.31,6.28,34.27,37.07,1.214,3,0,0
SEG_RURAL_NL1,rural,40.69,9.34,39.13,36.13,0.128,3,0,0
SEG_RURAL_NL1,rural,34.93,11.26,33.05,36.95,0.285,10,0,1
SEG_DIST_MZ1,district,8.02,24.88,3.87,25.09,0.179,4,0,0
SEG_HWY_NH37,highway,76.52,3.65,75.91,7.58,3.351,0,0,0
SEG_DIST_MZ1,district,26.16,15.93,23.5,35.13,0.289,2,0,1
SEG_HWY_NH27,highway,14.02,21.89,10.38,5.75,5.376,0,0,1
SEG_DIST_MZ1,district,20.25,8.3,18.86,44.07,0.509,3,0,0
SEG_HWY_NH27,highway,2.04,9.03,0.54,8.75,4.92,6,0,0
SEG_RURAL_NL1,rural,69.42,6.53,68.33,42.87,0.551,2,0,1
SEG_DIST_AR1,district,58.91,17.89,55.93,24.04,1.465,11,0,0
SEG_DIST_AR1,district,46.97,25.93,42.65,31.95,1.13,0,0,0
SEG_STATE_AS1,state,38.66,30.09,33.64,9.62,1.14,15,0,0
SEG_DIST_MZ1,district,15.29,9.15,13.77,36.21,0.677,2,0,0
SEG_HWY_NH27,highway,39.42,15.72,36.8,0.0,5.233,3,0,0
SEG_STATE_AS1,state,33.86,28.24,29.15,22.08,1.505,3,0,1
SEG_DIST_MZ1,district,3.58,1.62,3.31,37.0,0.637,7,0,0
SEG_DIST_AR1,district,13.82,9.45,12.24,31.2,0.787,0,0,0
SEG_RURAL_NL1,rural,41.84,4.38,41.11,39.5,0.271,1,0,1
SEG_STATE_AS1,state,69.38,22.88,65.57,13.69,1.974,1,1,0
SEG_HWY_NH27,highway,24.82,33.18,19.29,3.01,4.541,2,0,0
SEG_DIST_AR1,district,11.55,15.22,9.02,37.94,0.711,2,0,0
SEG_RURAL_NL1,rural,32.51,71.5,20.59,41.41,0.05,1,0,1
SEG_DIST_MZ1,district,17.42,4.61,16.65,36.07,0.68,10,0,0
SEG_STATE_AS1,state,19.01,29.65,14.06,20.3,1.498,1,0,0
SEG_HWY_NH27,highway,51.49,3.29,50.94,7.71,4.769,1,0,0
SEG_RURAL_NL1,rural,13.23,48.55,5.14,51.7,0.581,2,0,1
SEG_DIST_MZ1,district,41.33,8.19,39.97,35.46,0.166,3,0,0
SEG_HWY_NH37,highway,49.61,9.08,48.1,10.62,3.316,4,0,1
SEG_DIST_MZ1,district,64.64,11.17,62.78,42.21,0.805,2,1,0
SEG_DIST_AR1,district,94.23,22.05,90.55,34.31,0.607,4,0,0
SEG_STATE_AS1,state,24.93,3.87,24.28,19.72,1.359,5,0,0
SEG_STATE_MN2,state,33.34,21.56,29.75,20.01,1.651,4,0,0
SEG_DIST_MZ1,district,30.58,12.76,28.46,30.47,0.318,8,0,1
SEG_RURAL_TR1,rural,65.74,1.75,65.45,50.55,0.308,2,0,1
SEG_STATE_MN2,state,27.82,16.21,25.12,24.38,2.355,1,0,0
SEG_STATE_MN2,state,17.09,34.84,11.28,23.74,2.133,3,0,1
SEG_STATE_AS1,state,7.31,10.8,5.51,23.49,1.694,3,0,0
SEG_STATE_AS1,state,52.7,15.2,50.17,23.52,1.928,3,1,1
SEG_HWY_NH27,highway,24.34,17.23,21.47,10.81,4.784,1,0,0
SEG_DIST_AR1,district,31.5,26.28,27.12,31.01,0.985,3,0,0
SEG_HWY_NH27,highway,2.43,4.14,1.74,13.74,4.932,4,0,0
SEG_HWY_NH37,highway,25.75,2.07,25.41,0.85,3.183,8,0,0
SEG_DIST_MZ1,district,62.72,30.29,57.68,31.09,0.108,2,0,0
SEG_STATE_AS1,state,87.16,63.07,76.65,24.53,1.9,1,0,0
SEG_RURAL_NL1,rural,38.34,0.43,38.27,38.22,0.748,2,0,0
SEG_STATE_AS1,state,23.24,4.74,22.45,19.69,1.926,4,0,0
SEG_STATE_AS1,state,86.85,19.09,83.67,21.21,1.287,8,0,0
SEG_STATE_AS1,state,77.15,9.54,75.56,19.87,1.886,1,1,1
SEG_STATE_AS1,state,47.72,19.52,44.46,16.7,1.721,2,0,0
SEG_RURAL_TR1,rural,12.06,7.02,10.89,48.53,0.05,3,0,0
SEG_HWY_NH37,highway,11.77,20.03,8.43,1.06,3.274,1,0,0
SEG_RURAL_NL1,rural,6.29,12.59,4.19,44.1,0.05,1,0,0
SEG_DIST_MZ1,district,27.89,15.44,25.32,29.61,0.616,7,0,1
SEG_STATE_MN2,state,89.04,13.08,86.86,25.02,2.293,0,0,1
SEG_RURAL_TR1,rural,7.82,30.03,2.81,44.62,0.778,5,0,0
SEG_DIST_AR1,district,26.16,1.76,25.86,25.79,0.73,6,0,1
SEG_RURAL_TR1,rural,18.61,3.15,18.09,49.41,0.115,2,1,1
SEG_STATE_MN2,state,39.88,17.29,37.0,11.52,1.723,2,1,0
SEG_STATE_MN2,state,18.46,7.99,17.12,25.76,2.079,3,0,0
SEG_DIST_AR1,district,19.27,19.34,16.05,34.55,1.044,4,0,1
SEG_RURAL_TR1,rural,29.72,11.77,27.76,41.58,0.05,6,1,1
SEG_STATE_MN2,state,29.6,10.52,27.84,35.19,2.039,1,1,0
SEG_DIST_MZ1,district,13.87,10.3,12.15,32.74,0.822,1,0,1
SEG_RURAL_TR1,rural,22.64,43.61,15.37,47.88,0.308,1,0,1
SEG_RURAL_TR1,rural,12.01,14.72,9.55,49.73,0.329,6,0,0
SEG_DIST_AR1,district,17.86,2.38,17.47,29.07,0.207,2,0,1
SEG_RURAL_NL1,rural,17.95,3.06,17.44,44.33,0.05,10,0,0
SEG_RURAL_NL1,rural,23.39,8.99,21.89,36.65,0.15,10,0,1
SEG_STATE_AS1,state,10.61,21.26,7.07,21.35,1.911,1,0,1
SEG_STATE_MN2,state,44.91,2.75,44.46,25.55,2.133,5,0,1
SEG_STATE_AS1,state,11.25,5.33,10.36,12.96,1.355,1,0,0
SEG_DIST_AR1,district,42.25,12.22,40.22,24.89,1.052,5,0,0
SEG_HWY_NH37,highway,34.22,8.46,32.81,3.36,2.934,1,0,0
SEG_RURAL_TR1,rural,34.29,1.45,34.05,48.77,0.381,3,0,1
SEG_DIST_MZ1,district,62.79,11.18,60.93,32.02,0.306,6,1,1
SEG_HWY_NH27,highway,4.1,8.86,2.62,10.62,4.698,0,0,0
SEG_HWY_NH27,highway,37.02,4.75,36.23,11.93,5.122,3,0,0
SEG_DIST_AR1,district,51.43,25.98,47.1,27.82,1.647,0,1,1
SEG_HWY_NH27,highway,34.22,18.17,31.19,17.2,4.709,3,0,1
SEG_STATE_AS1,state,70.32,15.1,67.81,23.44,1.671,8,0,1
SEG_DIST_AR1,district,25.1,13.01,22.93,22.4,0.879,4,0,1
SEG_RURAL_TR1,rural,2.92,14.89,0.43,40.65,0.05,8,0,1
SEG_STATE_AS1,state,39.91,7.75,38.62,22.47,1.206,4,0,0
SEG_RURAL_NL1,rural,10.58,4.91,9.77,42.66,0.652,3,0,1
